iso3,cluster,method,k,year
238,8,kmeans_cosine_hs2_shares,10,2023
260,8,kmeans_cosine_hs2_shares,10,2023
296,8,kmeans_cosine_hs2_shares,10,2023
316,8,kmeans_cosine_hs2_shares,10,2023
408,8,kmeans_cosine_hs2_shares,10,2023
426,8,kmeans_cosine_hs2_shares,10,2023
520,8,kmeans_cosine_hs2_shares,10,2023
531,8,kmeans_cosine_hs2_shares,10,2023
535,8,kmeans_cosine_hs2_shares,10,2023
570,8,kmeans_cosine_hs2_shares,10,2023
580,8,kmeans_cosine_hs2_shares,10,2023
583,8,kmeans_cosine_hs2_shares,10,2023
584,8,kmeans_cosine_hs2_shares,10,2023
652,8,kmeans_cosine_hs2_shares,10,2023
654,8,kmeans_cosine_hs2_shares,10,2023
660,8,kmeans_cosine_hs2_shares,10,2023
706,8,kmeans_cosine_hs2_shares,10,2023
728,8,kmeans_cosine_hs2_shares,10,2023
740,8,kmeans_cosine_hs2_shares,10,2023
772,8,kmeans_cosine_hs2_shares,10,2023
795,8,kmeans_cosine_hs2_shares,10,2023
86,8,kmeans_cosine_hs2_shares,10,2023
862,8,kmeans_cosine_hs2_shares,10,2023
876,8,kmeans_cosine_hs2_shares,10,2023
156,9,kmeans_cosine_hs2_shares,10,2023
246,9,kmeans_cosine_hs2_shares,10,2023
266,9,kmeans_cosine_hs2_shares,10,2023
404,9,kmeans_cosine_hs2_shares,10,2023
50,9,kmeans_cosine_hs2_shares,10,2023
524,9,kmeans_cosine_hs2_shares,10,2023
608,9,kmeans_cosine_hs2_shares,10,2023
64,9,kmeans_cosine_hs2_shares,10,2023
643,9,kmeans_cosine_hs2_shares,10,2023
757,9,kmeans_cosine_hs2_shares,10,2023
784,9,kmeans_cosine_hs2_shares,10,2023
860,9,kmeans_cosine_hs2_shares,10,2023
