iso,cluster,method,k,year
748,5,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
752,6,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
757,6,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
76,6,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
760,7,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
762,7,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
764,6,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
768,7,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
772,8,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
776,2,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
780,5,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
784,6,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
788,4,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
792,6,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
795,1,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
796,2,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
798,8,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
8,0,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
800,3,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
804,9,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
807,0,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
818,9,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
826,6,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
834,3,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
84,5,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
842,6,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
854,7,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
858,4,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
86,8,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
860,9,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
862,1,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
876,8,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
882,2,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
887,7,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
894,3,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
90,2,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
92,2,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
96,5,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
